City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
linares,CL,-35.85,60.6,34,15,11.34,1665253421
barentu,ER,15.1139,84.34,30,50,10.87,1665253422
yuzhou,CN,34.1628,58.84,65,79,7.94,1665253422
kovdor,RU,67.5662,41.04,88,72,12.01,1665253417
lukovetskiy,RU,64.2956,49.14,82,100,13.2,1665253422
marsh harbour,BS,26.5412,82.44,73,2,13.56,1665253422
hakodate,JP,41.7758,50.14,65,89,5.14,1665253368
flinders,AU,-34.5833,51.19,88,100,15.01,1665253423
igreja nova,BR,-10.1253,85.03,52,14,15.08,1665253423
guerrero negro,MX,27.9769,77.47,62,33,9.17,1665253423
baft,IR,29.234,58.57,7,0,6.08,1665253423
kuytun,RU,54.3419,27.59,74,65,6.67,1665253243
aquiraz,BR,-3.9014,84.29,64,6,14.38,1665253424
revin,FR,49.9404,51.6,80,3,2.39,1665253424
fairbanks,US,64.8378,42.6,92,75,8.05,1665253424
makaleng,BW,-20.9,77.23,31,0,17.13,1665253168
morondava,MG,-20.2833,76.44,84,0,13.51,1665253424
abu kamal,SY,34.4506,82.94,37,22,10.27,1665253425
xining,CN,36.6167,33.15,41,79,4.38,1665253425
trinidad,BO,-14.8333,89.58,58,20,8.05,1665253425
praia da vitoria,PT,38.7333,79.05,69,40,8.77,1665253425
posadas,AR,-27.3671,82.38,34,0,11.5,1665253346
shimanovsk,RU,52.0,27.03,59,5,5.73,1665253426
pandamatenga,BW,-18.5278,77.7,20,0,4.7,1665253426
kysyl-syr,RU,63.8986,28.99,93,100,7.45,1665253426
qurayyat,SA,31.3318,75.38,41,0,13.8,1665253428
lazarev,RU,52.225,37.63,63,98,1.39,1665253428
nenjiang,CN,49.1833,32.05,59,62,8.77,1665253428
zhigalovo,RU,54.8097,20.8,97,74,2.46,1665253428
victoria,HK,22.2855,81.18,88,41,8.01,1665253261
lufilufi,WS,-13.8745,76.78,77,73,16.64,1665253429
bay roberts,CA,47.5999,56.52,90,95,3.0,1665253429
broome,US,42.2506,52.18,62,100,11.5,1665253429
mahibadhoo,MV,3.7833,82.15,70,100,14.41,1665253430
nara,JP,34.6851,57.49,67,52,2.93,1665253430
taoudenni,ML,22.6783,100.18,12,22,1.97,1665253430
lata,PT,40.1629,73.92,52,27,4.21,1665253431
dalhousie,IN,32.5333,53.53,89,30,3.65,1665253431
bolkhov,RU,53.4433,48.15,87,67,7.83,1665253431
scottsbluff,US,41.8666,64.78,58,0,4.61,1665253431
semey,KZ,50.4111,58.28,31,0,21.47,1665253431
kamojima,JP,34.0667,57.02,78,84,1.34,1665253431
pangnirtung,CA,66.1451,26.6,80,100,6.91,1665253431
puerto baquerizo moreno,EC,-0.9,70.79,78,75,18.41,1665253431
gouyave,GD,12.1646,83.17,84,75,20.71,1665253431
valleyview,CA,55.0667,59.04,55,43,9.22,1665253257
oxnard,US,34.1975,88.99,81,100,6.91,1665253432
hurricane,US,37.1753,84.54,30,0,3.27,1665253432
valparaiso,CL,-33.0393,68.23,77,0,17.27,1665253186
bonavista,CA,48.6499,53.38,84,97,10.42,1665253432
vanimo,PG,-2.6741,78.08,89,98,5.68,1665253432
virginia beach,US,36.8529,64.44,58,40,13.8,1665253433
umm lajj,SA,25.0213,83.88,71,37,9.4,1665253433
huilong,CN,31.8111,60.93,74,100,15.99,1665253433
xiuyan,CN,40.2928,51.03,91,100,5.37,1665253433
kavieng,PG,-2.5744,82.4,71,40,16.62,1665253433
grindavik,IS,63.8424,42.75,93,75,3.44,1665253434
jian,CN,27.1172,58.42,88,38,5.06,1665253434
villacarrillo,ES,38.1156,70.86,40,31,1.23,1665253435
caarapo,BR,-22.6342,78.76,44,0,7.45,1665253435
boguchany,RU,58.3814,35.76,80,100,5.86,1665253435
kichmengskiy gorodok,RU,59.9816,49.23,84,100,11.99,1665253435
acarau,BR,-2.8856,85.26,65,10,20.15,1665253435
andenes,NO,69.3143,44.58,76,40,20.71,1665253435
sept-iles,CA,50.2001,48.72,62,75,14.97,1665253435
nam dinh,VN,20.4167,74.59,94,89,6.17,1665253436
lagunas,PE,-5.2269,80.53,64,100,0.65,1665253436
saint-raphael,HT,19.4333,84.81,62,73,8.08,1665253436
dryden,CA,49.7833,52.09,54,20,11.5,1665253436
kloulklubed,PW,7.0419,79.3,68,98,2.64,1665253437
erzin,TR,36.9559,66.49,74,3,1.3,1665253437
banyuwangi,ID,-8.2325,76.53,94,69,3.85,1665253437
cururupu,BR,-1.8283,89.56,50,55,7.83,1665253437
